mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_epsilon,param_gamma,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.0,0.000600004196167,-0.310149518472,-0.21867182422,0.001,0.021544346900318832,10.0,"{'epsilon': 0.021544346900318832, 'C': 0.001, 'gamma': 10.0}",475,-0.501282970106,-0.168774484774,-0.176855292152,-0.311274121045,-0.431034482759,-0.186302077898,-0.0142266009852,-0.215473353077,-0.420118343195,-0.211535084305,0.0,0.000489901382448,0.182763680662,0.0493434769998
0.0,0.0,-0.310149518469,-0.21867182422,0.001,0.021544346900318832,46.415888336127729,"{'epsilon': 0.021544346900318832, 'C': 0.001, 'gamma': 46.415888336127729}",472,-0.501282970106,-0.168774484774,-0.176855292136,-0.311274121045,-0.431034482759,-0.186302077898,-0.0142266009852,-0.215473353077,-0.420118343195,-0.211535084305,0.0,0.0,0.182763680664,0.049343477
0.000399971008301,0.0,-0.310149518469,-0.21867182422,0.001,0.021544346900318832,215.44346900318823,"{'epsilon': 0.021544346900318832, 'C': 0.001, 'gamma': 215.44346900318823}",472,-0.501282970106,-0.168774484774,-0.176855292136,-0.311274121045,-0.431034482759,-0.186302077898,-0.0142266009852,-0.215473353077,-0.420118343195,-0.211535084305,0.000489862441122,0.0,0.182763680664,0.049343477
0.000600004196167,0.000399971008301,-0.310149518469,-0.21867182422,0.001,0.021544346900318832,1000.0,"{'epsilon': 0.021544346900318832, 'C': 0.001, 'gamma': 1000.0}",472,-0.501282970106,-0.168774484774,-0.176855292136,-0.311274121045,-0.431034482759,-0.186302077898,-0.0142266009852,-0.215473353077,-0.420118343195,-0.211535084305,0.000489901382448,0.000489862441122,0.182763680664,0.049343477
0.000400018692017,0.000599956512451,-0.309304226339,-0.218602398686,0.001,0.10000000000000001,0.001,"{'epsilon': 0.10000000000000001, 'C': 0.001, 'gamma': 0.001}",409,-0.504308797904,-0.171287934179,-0.170035101488,-0.308490929166,-0.431062860092,-0.18626309553,-0.0141764899339,-0.215480104524,-0.419970951438,-0.211489930033,0.000489920847309,0.000489862441122,0.184531930807,0.0478011985689
0.00019998550415,0.000600004196167,-0.309278482807,-0.218568263099,0.001,0.10000000000000001,0.0046415888336127772,"{'epsilon': 0.10000000000000001, 'C': 0.001, 'gamma': 0.0046415888336127772}",401,-0.504277955592,-0.171274541343,-0.16994876825,-0.308440695874,-0.431127043654,-0.186230565802,-0.0142011946333,-0.215441325052,-0.419878732127,-0.211454187424,0.000399971008301,0.000489901382448,0.18452892515,0.0477909296231
0.000400018692017,0.0,-0.309330871499,-0.218587870906,0.001,0.10000000000000001,0.021544346900318832,"{'epsilon': 0.10000000000000001, 'C': 0.001, 'gamma': 0.021544346900318832}",410,-0.504294304419,-0.171227265758,-0.170063736583,-0.308466116077,-0.431115106369,-0.186286503717,-0.0141943657012,-0.21544873293,-0.42002480717,-0.211510736048,0.000489920847309,0.0,0.184531292345,0.0478005109226
0.00019998550415,0.0,-0.309361487086,-0.218608328177,0.001,0.10000000000000001,0.10000000000000001,"{'epsilon': 0.10000000000000001, 'C': 0.001, 'gamma': 0.10000000000000001}",416,-0.504364192783,-0.171241748045,-0.170127384697,-0.308501128211,-0.431024815346,-0.186291011948,-0.0141937027572,-0.215464984886,-0.420126264433,-0.211542767797,0.000399971008301,0.0,0.184537277978,0.0478090369912
0.0,0.0,-0.309373971575,-0.218616873167,0.001,0.10000000000000001,0.46415888336127775,"{'epsilon': 0.10000000000000001, 'C': 0.001, 'gamma': 0.46415888336127775}",418,-0.504399966852,-0.171264536617,-0.170123124609,-0.308505967899,-0.431025979768,-0.186298822452,-0.0142209854991,-0.215472820802,-0.420127907608,-0.211542218066,0.0,0.0,0.184538090016,0.0478051991747
0.0,0.00019998550415,-0.309378189447,-0.218618297251,0.001,0.10000000000000001,2.154434690031882,"{'epsilon': 0.10000000000000001, 'C': 0.001, 'gamma': 2.154434690031882}",423,-0.504403622095,-0.17126905792,-0.170134938596,-0.308511640992,-0.431034449673,-0.186302113037,-0.0142265761528,-0.215473401119,-0.420118587992,-0.211535273189,0.0,0.000399971008301,0.184535302559,0.0478061901386
